key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
right,0.495999813,1,0,160,116,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.319000006,1,0,160,30,1,159,-5,-5,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.353999853,1,0,160,14,1,159,5,5,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.496999979,1,0,160,22,1,159,-5,-5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.360999823,1,0,160,11,1,159,5,5,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.345000029,1,0,160,135,1,159,125,125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.565999985,1,0,160,102,1,159,50,50,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.350999832,1,0,160,142,1,159,125,125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.363999844,1,0,160,28,1,159,-5,-5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.393999815,1,0,160,127,1,159,-50,-50,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.330999851,1,0,160,95,1,159,-20,-20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.179999828,1,0,160,79,1,159,20,20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.164999962,1,0,160,81,1,159,-20,-20,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.130999804,1,0,160,149,1,159,-125,-125,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.144000053,1,0,160,132,1,159,125,125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.128999949,1,0,160,64,1,159,20,20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.149999857,1,0,160,70,1,159,20,20,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.125999928,1,0,160,65,1,159,20,20,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.157000065,1,0,160,42,1,159,8,8,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.128999949,1,0,160,60,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.148000002,1,0,160,45,1,159,8,8,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
