Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruct_text_1.started,instruct_text_1.stopped,instruct_text_2.started,instruct_text_2.stopped,instruct_text_3.started,instruct_text_3.stopped,instruct_text_4.started,instruct_text_4.stopped,tut_sure.started,tut_sure.stopped,Tutbackdrop.started,Tutbackdrop.stopped,instruct_text_5.started,instruct_text_5.stopped,instruct_text_6.started,instruct_text_6.stopped,Tutbackdrop_2.started,Tutbackdrop_2.stopped,instruct_text_7.started,instruct_text_7.stopped,instruct_text_8.started,instruct_text_8.stopped,TutArrowTop.started,TutArrowTop.stopped,TutArrowBottom.started,TutArrowBottom.stopped,Tutbackdrop_3.started,Tutbackdrop_3.stopped,instruct_text_9.started,instruct_text_9.stopped,instruct_text_10.started,instruct_text_10.stopped,TutArrowTop_2.started,TutArrowTop_2.stopped,TutArrowBottom_2.started,TutArrowBottom_2.stopped,Tutbackdrop_5.started,Tutbackdrop_5.stopped,instruct_text_11.started,instruct_text_11.stopped,instruct_text_12.started,instruct_text_12.stopped,TutArrowTop_3.started,TutArrowTop_3.stopped,instruct_text_13.started,instruct_text_13.stopped,instruct_text_14.started,instruct_text_14.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Red_Square.started,Red_Square.stopped,Blue_Square.started,Blue_Square.stopped,sure.started,sure.stopped,or_text.started,or_text.stopped,Option_One.started,Option_One.stopped,Option_Two.started,Option_Two.stopped,Risk_Text_Top.started,Risk_Text_Top.stopped,Risk_Text_Bottom.started,Risk_Text_Bottom.stopped,Ambiguity_Bar.started,Ambiguity_Bar.stopped,endscreen_text.started,endscreen_text.stopped,participant,date,expName,psychopyVersion,frameRate,
8,8,0,13,87,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,10,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.12332310000783764,27.887622799986275,None,27.887622799986275,None,27.887622799986275,None,27.887622799986275,None,27.887622799986275,None,27.887622799986275,None,27.887622799986275,None,27.887622799986275,None,27.887622799986275,None,27.887622799986275,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-125,-125,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,0,11,11,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.12896790000377223,28.1390151999949,None,28.1390151999949,None,28.1390151999949,None,28.1390151999949,None,28.1390151999949,None,28.1390151999949,None,28.1390151999949,None,28.1390151999949,None,28.1390151999949,None,28.1390151999949,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
8,8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,0,12,12,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.17516719998093322,28.315737299999455,None,28.315737299999455,None,28.315737299999455,None,28.315737299999455,None,28.315737299999455,None,28.315737299999455,None,28.315737299999455,None,28.315737299999455,None,28.315737299999455,None,28.315737299999455,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-8,-8,0,38,62,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,13,13,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.20143240000470541,28.575488800008316,None,28.575488800008316,None,28.575488800008316,None,28.575488800008316,None,28.575488800008316,None,28.575488800008316,None,28.575488800008316,None,28.575488800008316,None,28.575488800008316,None,28.575488800008316,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-20,-20,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,0,14,14,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.14768940000794828,28.87446110000019,None,28.87446110000019,None,28.87446110000019,None,28.87446110000019,None,28.87446110000019,None,28.87446110000019,None,28.87446110000019,None,28.87446110000019,None,28.87446110000019,None,28.87446110000019,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
50,50,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,0,15,15,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.22981180000351742,29.084050600009505,None,29.084050600009505,None,29.084050600009505,None,29.084050600009505,None,29.084050600009505,None,29.084050600009505,None,29.084050600009505,None,29.084050600009505,None,29.084050600009505,None,29.084050600009505,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
8,8,0,13,87,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,16,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.13966460002120584,29.398527699988335,None,29.398527699988335,None,29.398527699988335,None,29.398527699988335,None,29.398527699988335,None,29.398527699988335,None,29.398527699988335,None,29.398527699988335,None,29.398527699988335,None,29.398527699988335,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-8,-8,0,13,87,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,17,17,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.17057180000119843,29.62846229999559,None,29.62846229999559,None,29.62846229999559,None,29.62846229999559,None,29.62846229999559,None,29.62846229999559,None,29.62846229999559,None,29.62846229999559,None,29.62846229999559,None,29.62846229999559,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-8,-8,0,50,50,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,18,18,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.13052919998881407,29.890207299991744,None,29.890207299991744,None,29.890207299991744,None,29.890207299991744,None,29.890207299991744,None,29.890207299991744,None,29.890207299991744,None,29.890207299991744,None,29.890207299991744,None,29.890207299991744,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
8,8,0,25,75,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,19,19,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.16585769999073818,30.11296699999366,None,30.11296699999366,None,30.11296699999366,None,30.11296699999366,None,30.11296699999366,None,30.11296699999366,None,30.11296699999366,None,30.11296699999366,None,30.11296699999366,None,30.11296699999366,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-8,-8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,0,20,20,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.14087850000942126,30.372360799985472,None,30.372360799985472,None,30.372360799985472,None,30.372360799985472,None,30.372360799985472,None,30.372360799985472,None,30.372360799985472,None,30.372360799985472,None,30.372360799985472,None,30.372360799985472,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
125,125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,0,21,21,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.155462599999737,30.607519999990473,None,30.607519999990473,None,30.607519999990473,None,30.607519999990473,None,30.607519999990473,None,30.607519999990473,None,30.607519999990473,None,30.607519999990473,None,30.607519999990473,None,30.607519999990473,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
